step,feature,score,gain
1,11_y,0.6857142857142857,0.6857142857142857
2,1_y,0.7428571428571429,0.05714285714285716
3,3_vz,0.8095238095238095,0.06666666666666665
4,3_y,0.8666666666666667,0.05714285714285716
5,3_uvz,0.8857142857142857,0.01904761904761898
6,8_y,0.9238095238095239,0.03809523809523818
7,6_uvy,0.9333333333333333,0.00952380952380949
8,14_vy,0.9428571428571428,0.00952380952380949
9,2_vx,0.9523809523809523,0.00952380952380949
10,9_uvy,0.9714285714285714,0.01904761904761909
