frame_idx,velocity_x,velocity_y,velocity_z,velocity_magnitude
0,0.0,0.0,0.0,0.0
1,0.3095375000000047,1.0423083333333334,-0.7083333333333334,1.2976733937141023
2,2.5074874999999963,-0.08306666666666256,3.4583333333333335,4.272524204520296
3,4.1946124999999865,-0.21195000000000164,4.666666666666667,6.278333744349206
4,4.154812500000001,-0.2796708333333318,4.125,5.861425397049221
5,1.9444208333333393,0.22484999999999408,-0.6666666666666666,2.067794560406125
6,1.233279166666667,-0.37310000000000326,-2.625,2.924176142597096
7,1.9118958333333278,-0.627008333333336,0.7083333333333334,2.1331247592904403
8,1.7861499999999921,0.09609583333333187,-0.5,1.857300791924668
9,-1.3479124999999879,0.6911708333333308,0.16666666666666666,1.523930118569971
10,-1.7312041666666762,0.7650958333333383,0.7916666666666666,2.051627551964344
11,-2.2597750000000096,1.6536125000000037,1.4166666666666667,3.1381462354749736
12,-4.628608333333337,2.8635499999999987,2.5416666666666665,6.006996183646802
13,-4.446041666666673,2.215133333333332,1.625,5.226349317274976
14,-3.063120833333329,1.7706333333333315,8.083333333333334,8.823725370754099
15,-1.8293666666666581,1.1794624999999996,6.25,6.618173025089124
16,0.13152916666667616,1.1141249999999967,5.75,5.858419107345345
17,0.3456333333333343,2.1701249999999987,2.3333333333333335,3.205206601949483
18,3.7712000000000026,2.8597666666666726,3.6666666666666665,5.987040944592101
19,5.33527083333334,4.015312500000003,2.4166666666666665,7.101276442686307
20,7.518528333333317,9.081965833333333,17.025000000000016,20.708959333992873
21,5.106120833333326,6.6667500000000075,-7.375,11.176253868228867
22,1.6172333333333313,5.9890250000000025,-10.75,12.411541568438205
23,-1.1094041666666687,2.897799999999999,-11.875,12.273697382818975
24,-5.034033333333336,0.2556541666666637,-16.0,16.77518556243254
25,-7.017529166666662,-0.27475416666666774,-13.166666666666666,14.92254390404763
26,-8.349015833333311,-4.42387833333333,-28.44166666666668,29.97007119896723
27,-2.8682124999999985,0.7240208333333271,4.916666666666667,5.737983985980446
28,2.262341666666657,2.2180874999999958,11.375,11.807994197762476
29,6.0892916666666865,3.443329166666672,13.875,15.538713387914514
30,8.101079166666665,4.001791666666662,13.0,15.83167142812165
31,7.904591666666676,3.4638750000000016,8.625,12.201296014455238
32,4.7350999999999885,2.2733958333333297,2.875,5.98791496474501
33,0.25179583333332783,-1.0081999999999975,-9.291666666666666,9.349595596929765
34,-5.045324999999991,-2.6194333333333284,-15.75,16.74452851959119
35,-6.8737708333333485,-2.358162500000001,-9.208333333333334,11.730433010906642
36,-8.840024999999997,-0.6365208333333309,-1.625,9.010650685266425
37,-9.236818055555574,-1.7829388888888882,6.986111111111086,11.717654514865147
38,-8.119087499999997,-5.577045833333334,8.166666666666666,12.795212640054144
39,-6.085820833333334,-4.905175,13.916666666666666,15.961565340127832
40,-4.981812500000008,-3.248608333333337,12.125,13.50509299814552
41,-2.529945833333329,-3.253249999999999,6.5,7.696379764675121
42,-2.085004166666664,-2.3460791666666694,-5.0,5.9035014890558575
43,-2.7378777777777636,-1.8824611111111125,-13.902777777777752,14.294294823430986
44,-1.126908333333328,4.004020833333338,-10.958333333333334,11.721227524024433
45,1.7216291666666639,6.720616666666658,-6.958333333333333,9.82594006421639
46,3.1524083333333315,7.1125374999999975,-2.8333333333333335,8.27971290364306
47,1.9705499999999934,6.364645833333327,1.1666666666666667,6.764088630213117
48,2.6270416666666656,2.3689125000000026,10.958333333333334,11.515127606566221
49,4.146549999999991,1.9476416666666694,14.625,15.325723799032659
50,2.8024291666666556,0.24016249999999673,7.833333333333333,8.3230041674687
51,0.06394166666667427,-3.4585083333333273,-4.875,5.977540750883442
52,0.25693333333332663,-5.800179166666666,-5.125,7.744270017452375
53,-1.0497874999999983,-5.170212500000001,-9.041666666666666,10.46828004981829
54,1.076441666666663,-3.7467041666666696,-8.583333333333334,9.427095516932276
55,3.36000416666667,-1.3179333333333336,-4.125,5.48107665254998
56,2.631308333333332,-3.173733333333331,-0.20833333333333334,4.12792557999273
57,0.7715055555555542,-2.6658499999999967,9.05555555555558,9.471275704175579
58,-1.7838749999999948,-3.902037500000001,12.625,13.33411908102786
59,-1.3810708333333348,-3.9112208333333314,13.875,14.481734359315693
60,-1.5993374999999996,-3.783945833333334,11.666666666666666,12.368800977443936
61,-3.8732666666666753,-4.764604166666667,5.0,7.918563476801114
62,-3.550604166666659,-2.9933333333333345,6.541666666666667,8.022483229684738
63,-3.034826388888888,-3.1428375000000037,-0.38888888888891415,4.386209448943802
64,-0.30436666666666196,-0.35365416666666744,-2.3333333333333335,2.379528268758939
65,0.01646250000000767,-0.062329166666666914,-0.6666666666666666,0.6697763681767638
66,-0.2834208333333284,-0.13862083333332956,-1.5833333333333333,1.614461999752806
67,-0.6176583333333289,-0.3056458333333391,-0.3333333333333333,0.7655274673591066
68,1.3581958333333357,-0.8633208333333329,-0.3333333333333333,1.6435114523673102
69,2.0509541666666657,-0.8670333333333341,2.5416666666666665,3.37908704228271
