frame_idx,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,label
10,439.5612,161.3176,2055.0,540.5486,131.5793,2059.0,659.6532,89.554,2015.0,637.5987,-110.917,1977.0,430.0852,-119.8648,1966.0,406.4748,162.0595,2108.0,365.9015,15.8165,2214.0,291.2897,-28.0333,2276.0,600.8169,-187.5918,1941.0,598.3519,-256.2402,1913.0,-1.0,-1.0,-1.0,452.9691,-165.0054,2011.0,307.504,-239.5303,2063.0,177.3232,-371.0525,1303.0,441.4351,190.1734,1974.0,414.5187,192.0563,2063.0,531.2071,232.8735,2011.0,-1.0,-1.0,-1.0,2
11,436.9944,160.3756,2043.0,543.8863,131.5793,2059.0,659.6532,89.554,2015.0,633.0836,-110.1315,1963.0,434.1537,-110.5243,1970.0,404.9322,161.4445,2100.0,364.6035,15.9165,2228.0,290.1275,-28.2797,2296.0,599.8259,-185.1092,1948.0,601.4797,-257.5797,1923.0,349.6602,-340.6815,1292.0,455.672,-165.99,2023.0,307.504,-239.5303,2063.0,179.0923,-381.1571,1316.0,442.1059,190.4624,1977.0,407.9856,200.5258,2047.0,527.2448,234.3735,1996.0,-1.0,-1.0,-1.0,2
12,430.4036,164.9707,2059.0,552.7009,128.7384,2067.0,655.0838,92.6375,2011.0,641.3204,-106.7301,1959.0,430.0852,-110.2998,1966.0,405.8086,157.0605,2087.0,377.6017,-8.9973,2138.0,334.354,-52.5216,2219.0,604.4447,-189.718,1963.0,601.4797,-257.5797,1923.0,349.6602,-340.6815,1292.0,458.375,-170.2748,2035.0,307.504,-239.5303,2063.0,179.5006,-384.1651,1319.0,438.3409,191.6185,1989.0,407.9856,203.8455,2047.0,518.1674,239.3961,2011.0,-1.0,-1.0,-1.0,2
13,422.0818,167.6559,2051.0,545.0978,127.7419,2051.0,662.9196,92.8218,2015.0,642.6299,-103.7646,1963.0,426.9412,-99.0351,1996.0,413.3091,148.385,2108.0,376.7381,-2.0965,2173.0,319.5371,-42.6283,2267.0,611.2189,-195.0634,1985.0,600.5406,-258.5173,1930.0,342.7236,-368.9925,1274.0,466.4838,-176.6456,2071.0,307.504,-239.5303,2063.0,178.1397,-379.1297,1309.0,427.8061,194.4522,1985.0,411.1745,202.0932,2063.0,508.3876,232.8735,2011.0,-1.0,-1.0,-1.0,2
14,422.0818,170.9821,2051.0,541.5987,128.4893,2063.0,648.2585,108.3481,2000.0,636.2657,-94.2142,1963.0,413.2627,-85.2677,1977.0,410.6697,148.6666,2112.0,370.1241,-2.0792,2155.0,309.7372,-42.7976,2276.0,602.3459,-187.8649,1977.0,597.4289,-272.7465,1920.0,-1.0,-1.0,-1.0,461.7015,-175.2952,2095.0,306.3116,-245.2668,2055.0,178.4119,-379.7089,1311.0,429.3147,198.3685,1992.0,409.5801,204.6422,2055.0,504.8626,237.5439,2023.0,-1.0,-1.0,-1.0,2
15,403.0858,183.2086,2039.0,544.9429,128.4893,2063.0,642.4363,107.9147,1992.0,595.2452,-95.413,1923.0,388.254,-77.6986,1948.0,421.7379,138.6534,2116.0,347.2584,-2.11,2187.0,-1.0,-1.0,-1.0,602.3459,-187.8649,1977.0,595.2452,-273.1727,1923.0,-1.0,-1.0,-1.0,473.4709,-171.2413,2087.0,307.504,-246.2216,2063.0,178.4119,-377.5828,1311.0,414.6733,210.4622,2015.0,404.4861,208.7844,2063.0,494.0457,233.7999,2019.0,-1.0,-1.0,-1.0,2
16,410.9933,183.4311,2079.0,553.9896,124.1731,2047.0,645.6654,107.9147,1992.0,604.4447,-91.0308,1963.0,416.4878,-89.8611,2008.0,464.9157,122.7426,2079.0,424.3446,-35.9966,2095.0,379.5396,-75.9553,1985.0,602.1814,-190.008,1966.0,588.0261,-274.167,1930.0,-1.0,-1.0,-1.0,484.7471,-172.6177,2063.0,305.1191,-240.9923,2047.0,178.4119,-377.5828,1311.0,414.8285,205.652,2000.0,399.5863,207.9748,2055.0,494.609,232.5261,2008.0,-1.0,-1.0,-1.0,2
17,413.3656,181.0988,2091.0,555.0721,124.4157,2051.0,654.4169,102.8289,2019.0,607.6268,-94.2142,1963.0,431.1353,-94.1842,2031.0,463.9932,125.2223,2121.0,423.5606,-32.8013,2108.0,361.5033,-76.2232,1992.0,603.4066,-187.1997,1970.0,586.1097,-268.4624,1934.0,-1.0,-1.0,-1.0,471.5703,-160.3741,2035.0,307.504,-236.1847,2063.0,177.3232,-371.0525,1303.0,421.2583,202.2522,2031.0,404.9322,212.529,2100.0,501.2597,232.3525,2035.0,-1.0,-1.0,-1.0,2
18,415.9579,180.7524,2087.0,556.0516,125.3863,2067.0,650.8515,102.2687,2008.0,604.4447,-97.3977,1963.0,421.3126,-95.9901,2000.0,413.0003,141.5366,2160.0,343.7384,1.4827,2257.0,273.2918,-28.4644,2311.0,600.0374,-176.6235,1959.0,589.9725,-265.9638,1916.0,-1.0,-1.0,-1.0,463.1447,-156.4564,2027.0,314.1925,-232.839,2063.0,174.942,-368.3731,1301.0,427.0591,200.134,2043.0,402.4255,207.8288,2087.0,505.5502,239.4227,2039.0,-1.0,-1.0,-1.0,2
19,426.1073,177.3678,2087.0,549.1693,129.4858,2079.0,653.1204,105.893,2015.0,603.213,-97.1992,1959.0,410.8876,-104.7161,1981.0,407.689,156.1965,2169.0,342.3399,5.1771,2272.0,273.8831,-36.0379,2316.0,603.4066,-174.4205,1970.0,598.3624,-276.2912,1923.0,-1.0,-1.0,-1.0,442.7495,-154.0759,2039.0,309.6428,-235.2688,2055.0,176.0178,-372.7611,1309.0,432.8335,203.0488,2039.0,405.8086,204.4442,2087.0,507.8573,238.953,2035.0,-1.0,-1.0,-1.0,2
20,417.0527,185.0056,2059.0,536.7194,129.7349,2083.0,649.854,105.893,2015.0,606.6001,-97.745,1970.0,413.8501,-96.518,2011.0,401.1691,164.8872,2191.0,297.962,16.8452,2358.0,262.7119,-44.8472,2385.0,598.9945,-177.2547,1966.0,597.4289,-260.2916,1920.0,-1.0,-1.0,-1.0,432.0759,-156.1918,2067.0,310.8483,-236.1847,2063.0,173.2316,-369.2225,1304.0,429.508,209.7311,2008.0,404.253,220.5185,2079.0,523.3207,248.3645,2031.0,-1.0,-1.0,-1.0,2
21,421.914,193.9182,2083.0,534.6581,132.6018,2075.0,654.4169,106.1032,2019.0,605.3684,-97.5465,1966.0,413.0403,-93.8132,2023.0,408.2304,166.317,2210.0,330.3476,12.6512,2291.0,285.1582,-35.5711,2286.0,589.4433,-175.3613,1945.0,599.2902,-256.6421,1916.0,-1.0,-1.0,-1.0,436.2692,-159.8526,2071.0,310.8483,-239.5303,2063.0,175.8833,-372.4764,1308.0,446.0548,222.8891,2039.0,400.1116,236.9196,2075.0,538.7193,251.1626,2027.0,-1.0,-1.0,-1.0,2
22,434.584,195.4019,2063.0,531.5661,128.4893,2063.0,655.7135,106.3134,2023.0,604.4447,-97.3977,1963.0,409.9777,-93.1176,2008.0,411.8129,169.9011,2210.0,352.5142,5.111,2243.0,285.1582,-39.2783,2286.0,594.729,-172.8268,1952.0,600.5413,-254.0641,1920.0,-1.0,-1.0,-1.0,441.3246,-163.8417,2079.0,310.8483,-239.5303,2063.0,176.9149,-368.09,1300.0,457.1365,230.069,2015.0,409.976,245.5286,2091.0,546.3671,254.952,2031.0,-1.0,-1.0,-1.0,2
23,443.618,200.134,2043.0,531.5661,125.1436,2063.0,659.603,106.944,2035.0,590.1588,-67.836,1937.0,414.993,-14.6799,1970.0,410.8812,165.9408,2205.0,340.1132,-12.4879,2142.0,-1.0,-1.0,-1.0,604.8992,-170.2485,1996.0,597.1007,-258.8003,1909.0,342.0752,-341.4725,1295.0,443.2209,-169.224,2104.0,310.2455,-235.7267,2059.0,176.9149,-363.8735,1300.0,468.0641,243.5953,1992.0,424.4739,254.2343,2079.0,548.5957,252.9435,2015.0,516.8239,356.8425,2703.0,2
